requete,rang,objet,montant,region,pertinent
travaux_voirie,15,TRAVAUX DE VOIRIE,2300000.0,Normandie,1
travaux_voirie,16,Maitrise d’œuvre Amenagement de la place de l’Eglise,87130.0,Occitanie,0
travaux_voirie,17,Travaux de revêtements de chaussée sur les Routes Départementales de Corse du Sud - Lot 1,10000000.0,Corse,1
travaux_voirie,18,Couverture - Etancheite,66373.14,Hauts-de-France,0
travaux_voirie,19,travaux de voirie 2025,2018910.15,Hauts-de-France,1
travaux_voirie,20,CHAUFFAGE-PLOMBERIE,751718.55,Bretagne,0
restauration_scolaire,1,marché de restauration scolaire,142090.0,Bretagne,1
restauration_scolaire,2,Restauration scolaire,2880000.0,Île-de-France,1
restauration_scolaire,3,Acquisition de matériels pour la restauration scolaire - Lot 2,9850.0,La Réunion,1
restauration_scolaire,4,Préparation de repas sur place et gestion de la restauration scolaire du groupe scolaire de Cloyes les Trois Rivières,229611.0,Centre-Val de Loire,1
restauration_scolaire,5,Travaux de création d’une cantine scolaire dans l’ancienne salle de motricité de l’école - Lot n° 11,3522.2,Hauts-de-France,0
restauration_scolaire,6,Accord-cadre pour la fourniture de repas pour la restauration scolaire et extra-scolaire ,,Grand Est,1
restauration_scolaire,7,"Le marché objet de la présente consultation a pour objet la préparation, la fourniture et la livraison de repas en liaison froide pour la restauration scolaire. La prestation comporte la mise en œuvre du service de repas scolaire, le remise en l’état de propreté du matériel et des locaux du restaurant scolaire après le service. ",165000.0,Île-de-France,1
restauration_scolaire,8,travaux pour la réhabilitation des anciennes cuisine et salle de restauration en salle de classes sur le groupe scolaire La Fontaine à Wissous - Lot 1 : installations de chantier  curage  maçonnerie,134179.85,Île-de-France,0
restauration_scolaire,9,LOT No9 restructuration et extension du restaurant scolaire et garderie,83966.14,Bretagne,0
restauration_scolaire,10,Gestion du transport scolaire et périscolaire pour la ville de Montluel pour l’année scolaire 2022-2023. Le marché est un marché d’un an renouvelable 2 fois.,63323.4,Auvergne-Rhône-Alpes,0
restauration_scolaire,11,Groupe scolaire Condé - Réhabilitation et regroupement des restaurants,133196.0,Auvergne-Rhône-Alpes,0
restauration_scolaire,12,MO pour projet scolaire/périscolaire,1314470.91,Grand Est,0
restauration_scolaire,13,Groupe scolaire Condé - Réhabilitation et regroupement des restaurants,143086.0,Auvergne-Rhône-Alpes,0
restauration_scolaire,14,"2026_70 - Fourniture, livraison et montage de mobilier scolaire, périscolaire et de restauration pour la ville de Nancy ; Mobilier inox de restauration (référence de consultation : VDN_2025_009_GM)",80000.0,Grand Est,0
restauration_scolaire,15,MOE Réhabilitation du restaurant scolaire,88800.0,Centre-Val de Loire,0
restauration_scolaire,16,EXTENSION DE LA CANTINE SCOLAIRE- MAITRISE D’OEUVRE,67000.0,Hauts-de-France,0
restauration_scolaire,17,CONSTRUCTION D’UN EQUIPEMENT DE RESTAURATION SCOLAIRE ET AMENAGEMENTS DE DEUX PREAUX ET D’UNE SALLE DE CLASSE AU GROUPE SCOLAIRE : LES BENEDICTINS REPRISE DU LOT 17 - PANNEAUX ALIMENTAIRES,73066.54,Nouvelle-Aquitaine,0
restauration_scolaire,18,Construction d’une école et d’un accueil périscolaire Lot 7 Doublages - cloisons - menuiseries intérieures,529185.03,Grand Est,0
restauration_scolaire,19,TRAVAUX D’AMENAGEMENT D’UNE CANTINE SCOLAIRE LOT3 ET LOT11,78109.0,Île-de-France,0
restauration_scolaire,20,Remplacement de menuiseries dans le groupe scolaire Gruet,125000.0,Île-de-France,0
espaces_verts,1,Entretien des espaces verts,70000.0,Hauts-de-France,1
espaces_verts,2,Entretien des espaces verts - Lot 01 - ENTRETIEN DES ESPACES VERTS,160000.0,Nouvelle-Aquitaine,1
espaces_verts,3,2024-07 Entretien des espaces verts,450000.0,Normandie,1
espaces_verts,4,Entretien des espaces verts et nettoyage visuel des dépendances des espaces publics,700000.0,Auvergne-Rhône-Alpes,1
espaces_verts,5,Espaces verts,8705.23,Centre-Val de Loire,1
espaces_verts,6,Entretien des espaces verts de la Ville de Molsheim - Entretien de divers espaces verts,11049.19,Grand Est,1
espaces_verts,7,Lot 5 Entretien et propreté des espaces verts sur St-Ouen,3600000.0,Île-de-France,1
espaces_verts,8,Entretien des espaces verts du patrimoine immobilier et foncier  de la CCIT des VOSGES,33000.0,Grand Est,1
espaces_verts,9,entretien et création et des espaces verts sur les sites du Syvadec,40000.0,Corse,1
espaces_verts,10,Entretien des espaces verts des bâtiments intercommunaux de la CCPOH,100336.0,Hauts-de-France,1
espaces_verts,11,Entretiens espaces verts - 2024,95700.0,Grand Est,1
espaces_verts,12,Entretien des espaces verts - DDSIS/PSL,52000.0,Auvergne-Rhône-Alpes,1
espaces_verts,13,Acquisition de matériel pour l’entretien des espaces verts  - Tondeuses,,Nouvelle-Aquitaine,1
espaces_verts,14,Entretien des espaces verts de la commune de Bonneville,16694.3,Auvergne-Rhône-Alpes,1
espaces_verts,15,Accord-cadre pour l’entretien des espaces verts au profit des services et établissements publics de l’État en Nouvelle-Aquitaine - Entretien des Espaces verts dépt.86 classique (ouvert),191000.0,Nouvelle-Aquitaine,1
espaces_verts,16,Entretien des espaces verts communaux: Lot 3: Entretien des espaces verts communaux en éco pâturage secteur 3 - Relance du lot 06 du marché 2022-01,40000.0,Occitanie,1
espaces_verts,17,Accord-cadre de prestations d’entretien des espaces verts aménagés et naturels de la Commune de CORDEMAIS- 2 Lots: Lot 1: LOT 1-Entretien des Espaces Verts des lotissements communaux,38105.0,Pays de la Loire,1
espaces_verts,18,"Entretien et petits aménagements des espaces verts communautaires - Lot 1 : entretien des espaces verts sur les communes de Laval, Bonchamp, Soulgé-sur-Ouette, Louvigné et Argentré",560000.0,Pays de la Loire,1
espaces_verts,19,Accord-cadre mixte pour l’entretien des espaces verts - Patrimoine Ophis,32000.0,Auvergne-Rhône-Alpes,1
espaces_verts,20,"Entretien et petits aménagements des espaces verts communautaires - Lot 1 : entretien des espaces verts sur les communes de Laval, Bonchamp, Soulgé-sur-Ouette, Louvigné et Argentré",1760000.0,Pays de la Loire,1
